date,alerts,frauds,detected_frauds,policy
2020-02-20,5,25,5,Benefit Top-5
2020-02-21,5,28,5,Benefit Top-5
2020-02-22,5,17,5,Benefit Top-5
2020-02-23,5,13,5,Benefit Top-5
2020-02-24,5,6,4,Benefit Top-5
2020-02-25,5,7,5,Benefit Top-5
2020-02-26,4,1,1,Benefit Top-5
2020-02-27,5,26,5,Benefit Top-5
2020-02-28,5,22,5,Benefit Top-5
2020-03-01,5,19,5,Benefit Top-5
2020-03-02,5,27,5,Benefit Top-5
2020-03-03,5,9,3,Benefit Top-5
2020-03-04,5,6,5,Benefit Top-5
2020-03-05,5,8,4,Benefit Top-5
2020-03-06,3,0,0,Benefit Top-5
2020-03-07,5,7,2,Benefit Top-5
2020-03-08,5,15,5,Benefit Top-5
2020-03-09,5,7,5,Benefit Top-5
2020-03-10,5,18,2,Benefit Top-5
2020-03-11,5,22,5,Benefit Top-5
2020-03-12,5,31,5,Benefit Top-5
2020-03-13,5,13,5,Benefit Top-5
2020-03-14,5,8,4,Benefit Top-5
2020-03-15,5,18,5,Benefit Top-5
2020-03-16,5,19,5,Benefit Top-5
2020-03-17,5,32,5,Benefit Top-5
2020-03-18,5,14,5,Benefit Top-5
2020-03-19,5,37,5,Benefit Top-5
2020-03-20,5,41,5,Benefit Top-5
2020-03-21,5,15,5,Benefit Top-5
2020-03-22,5,5,4,Benefit Top-5
2020-03-23,5,6,4,Benefit Top-5
2020-03-24,5,11,5,Benefit Top-5
2020-03-25,5,3,2,Benefit Top-5
2020-03-26,2,0,0,Benefit Top-5
2020-03-27,2,0,0,Benefit Top-5
2020-03-28,5,5,4,Benefit Top-5
2020-03-29,5,11,4,Benefit Top-5
2020-03-30,5,4,4,Benefit Top-5
2020-03-31,5,33,5,Benefit Top-5
2020-04-01,5,12,5,Benefit Top-5
2020-04-02,5,10,4,Benefit Top-5
2020-04-03,5,6,5,Benefit Top-5
2020-01-29,10,3,3,Probability Top-10
2020-01-30,10,17,10,Probability Top-10
2020-01-31,10,15,10,Probability Top-10
2020-02-01,10,21,10,Probability Top-10
2020-02-02,10,22,10,Probability Top-10
2020-02-03,10,18,10,Probability Top-10
2020-02-04,10,6,6,Probability Top-10
2020-02-05,10,0,0,Probability Top-10
2020-02-06,10,0,0,Probability Top-10
2020-02-07,10,11,9,Probability Top-10
2020-02-08,10,14,10,Probability Top-10
2020-02-09,10,13,8,Probability Top-10
2020-02-10,10,8,7,Probability Top-10
2020-02-11,10,9,8,Probability Top-10
2020-02-12,10,5,5,Probability Top-10
2020-02-13,10,4,4,Probability Top-10
2020-02-14,10,13,10,Probability Top-10
2020-02-15,10,18,10,Probability Top-10
2020-02-16,10,10,8,Probability Top-10
2020-02-17,10,6,6,Probability Top-10
2020-02-18,10,3,3,Probability Top-10
2020-02-19,10,10,10,Probability Top-10
2020-02-20,10,25,10,Probability Top-10
2020-02-21,10,28,10,Probability Top-10
2020-02-22,10,17,10,Probability Top-10
2020-02-23,10,13,10,Probability Top-10
2020-02-24,10,6,6,Probability Top-10
2020-02-25,10,7,7,Probability Top-10
2020-02-26,10,1,1,Probability Top-10
2020-02-27,10,26,10,Probability Top-10
2020-02-28,10,22,10,Probability Top-10
2020-03-01,10,19,10,Probability Top-10
2020-03-02,10,27,10,Probability Top-10
2020-03-03,10,9,3,Probability Top-10
2020-03-04,10,6,6,Probability Top-10
2020-03-05,10,8,5,Probability Top-10
2020-03-06,10,0,0,Probability Top-10
2020-03-07,10,7,6,Probability Top-10
2020-03-08,10,15,10,Probability Top-10
2020-03-09,10,7,7,Probability Top-10
2020-03-10,10,18,9,Probability Top-10
2020-03-11,10,22,10,Probability Top-10
2020-03-12,10,31,10,Probability Top-10
2020-03-13,10,13,9,Probability Top-10
2020-03-14,10,8,8,Probability Top-10
2020-03-15,10,18,10,Probability Top-10
2020-03-16,10,19,10,Probability Top-10
2020-03-17,10,32,10,Probability Top-10
2020-03-18,10,14,10,Probability Top-10
2020-03-19,10,37,10,Probability Top-10
2020-03-20,10,41,10,Probability Top-10
2020-03-21,10,15,10,Probability Top-10
2020-03-22,10,5,5,Probability Top-10
2020-03-23,10,6,6,Probability Top-10
2020-03-24,10,11,10,Probability Top-10
2020-03-25,10,3,3,Probability Top-10
2020-03-26,10,0,0,Probability Top-10
2020-03-27,10,0,0,Probability Top-10
2020-03-28,10,5,5,Probability Top-10
2020-03-29,10,11,10,Probability Top-10
2020-03-30,10,4,4,Probability Top-10
2020-03-31,10,33,10,Probability Top-10
2020-04-01,10,12,10,Probability Top-10
2020-04-02,10,10,7,Probability Top-10
2020-04-03,10,6,6,Probability Top-10
2020-01-29,6,3,3,Benefit Top-10
2020-01-30,10,17,10,Benefit Top-10
2020-01-31,10,15,8,Benefit Top-10
2020-02-01,10,21,9,Benefit Top-10
2020-02-02,10,22,9,Benefit Top-10
2020-02-03,10,18,10,Benefit Top-10
2020-02-04,6,6,5,Benefit Top-10
2020-02-05,2,0,0,Benefit Top-10
2020-02-06,8,0,0,Benefit Top-10
2020-02-07,10,11,8,Benefit Top-10
2020-02-08,10,14,9,Benefit Top-10
2020-02-09,10,13,7,Benefit Top-10
2020-02-10,10,8,7,Benefit Top-10
2020-02-11,10,9,8,Benefit Top-10
2020-02-12,7,5,5,Benefit Top-10
2020-02-13,5,4,4,Benefit Top-10
2020-02-14,10,13,10,Benefit Top-10
2020-02-15,10,18,10,Benefit Top-10
2020-02-16,10,10,7,Benefit Top-10
2020-02-17,9,6,5,Benefit Top-10
2020-02-18,5,3,3,Benefit Top-10
2020-02-19,10,10,9,Benefit Top-10
2020-02-20,10,25,10,Benefit Top-10
2020-02-21,10,28,10,Benefit Top-10
2020-02-22,10,17,10,Benefit Top-10
2020-02-23,10,13,9,Benefit Top-10
2020-02-24,9,6,4,Benefit Top-10
2020-02-25,10,7,7,Benefit Top-10
2020-02-26,4,1,1,Benefit Top-10
2020-02-27,10,26,10,Benefit Top-10
2020-02-28,10,22,10,Benefit Top-10
2020-03-01,10,19,10,Benefit Top-10
2020-03-02,10,27,9,Benefit Top-10
2020-03-03,10,9,4,Benefit Top-10
2020-03-04,9,6,5,Benefit Top-10
2020-03-05,5,8,4,Benefit Top-10
2020-03-06,3,0,0,Benefit Top-10
2020-03-07,6,7,3,Benefit Top-10
2020-03-08,10,15,8,Benefit Top-10
2020-03-09,10,7,6,Benefit Top-10
2020-03-10,10,18,7,Benefit Top-10
2020-03-11,10,22,10,Benefit Top-10
2020-03-12,10,31,10,Benefit Top-10
2020-03-13,10,13,10,Benefit Top-10
2020-03-14,9,8,7,Benefit Top-10
2020-03-15,10,18,10,Benefit Top-10
2020-03-16,10,19,9,Benefit Top-10
2020-03-17,10,32,10,Benefit Top-10
2020-03-18,10,14,9,Benefit Top-10
2020-03-19,10,37,10,Benefit Top-10
2020-03-20,10,41,10,Benefit Top-10
2020-03-21,10,15,10,Benefit Top-10
2020-03-22,7,5,5,Benefit Top-10
2020-03-23,10,6,6,Benefit Top-10
2020-03-24,10,11,9,Benefit Top-10
2020-03-25,7,3,3,Benefit Top-10
2020-03-26,2,0,0,Benefit Top-10
2020-03-27,2,0,0,Benefit Top-10
2020-03-28,8,5,4,Benefit Top-10
2020-03-29,10,11,9,Benefit Top-10
2020-03-30,10,4,4,Benefit Top-10
2020-03-31,10,33,10,Benefit Top-10
2020-04-01,10,12,9,Benefit Top-10
2020-04-02,10,10,9,Benefit Top-10
2020-04-03,6,6,6,Benefit Top-10
2020-01-29,25,3,3,Probability Top-25
2020-01-30,25,17,17,Probability Top-25
2020-01-31,25,15,15,Probability Top-25
2020-02-01,25,21,20,Probability Top-25
2020-02-02,25,22,18,Probability Top-25
2020-02-03,25,18,16,Probability Top-25
2020-02-04,25,6,6,Probability Top-25
2020-02-05,25,0,0,Probability Top-25
2020-02-06,25,0,0,Probability Top-25
2020-02-07,25,11,11,Probability Top-25
2020-02-08,25,14,13,Probability Top-25
2020-02-09,25,13,9,Probability Top-25
2020-02-10,25,8,8,Probability Top-25
2020-02-11,25,9,9,Probability Top-25
2020-02-12,25,5,5,Probability Top-25
2020-02-13,25,4,4,Probability Top-25
2020-02-14,25,13,12,Probability Top-25
2020-02-15,25,18,18,Probability Top-25
2020-02-16,25,10,9,Probability Top-25
2020-02-17,25,6,6,Probability Top-25
2020-02-18,25,3,3,Probability Top-25
2020-02-19,25,10,10,Probability Top-25
2020-02-20,25,25,24,Probability Top-25
2020-02-21,25,28,24,Probability Top-25
2020-02-22,25,17,17,Probability Top-25
2020-02-23,25,13,13,Probability Top-25
2020-02-24,25,6,6,Probability Top-25
2020-02-25,25,7,7,Probability Top-25
2020-02-26,25,1,1,Probability Top-25
2020-02-27,25,26,24,Probability Top-25
2020-02-28,25,22,21,Probability Top-25
2020-03-01,25,19,16,Probability Top-25
2020-03-02,25,27,22,Probability Top-25
2020-03-03,25,9,7,Probability Top-25
2020-03-04,25,6,6,Probability Top-25
2020-03-05,25,8,7,Probability Top-25
2020-03-06,25,0,0,Probability Top-25
2020-03-07,25,7,6,Probability Top-25
2020-03-08,25,15,11,Probability Top-25
2020-03-09,25,7,7,Probability Top-25
2020-03-10,25,18,14,Probability Top-25
2020-03-11,25,22,15,Probability Top-25
2020-03-12,25,31,25,Probability Top-25
2020-03-13,25,13,12,Probability Top-25
2020-03-14,25,8,8,Probability Top-25
2020-03-15,25,18,18,Probability Top-25
2020-03-16,25,19,18,Probability Top-25
2020-03-17,25,32,25,Probability Top-25
2020-03-18,25,14,13,Probability Top-25
2020-03-19,25,37,25,Probability Top-25
2020-03-20,25,41,25,Probability Top-25
2020-03-21,25,15,15,Probability Top-25
2020-03-22,25,5,5,Probability Top-25
2020-03-23,25,6,6,Probability Top-25
2020-03-24,25,11,11,Probability Top-25
2020-03-25,25,3,3,Probability Top-25
2020-03-26,25,0,0,Probability Top-25
2020-03-27,25,0,0,Probability Top-25
2020-03-28,25,5,5,Probability Top-25
2020-03-29,25,11,11,Probability Top-25
2020-03-30,25,4,4,Probability Top-25
2020-03-31,25,33,25,Probability Top-25
2020-04-01,25,12,12,Probability Top-25
2020-04-02,25,10,9,Probability Top-25
2020-04-03,25,6,6,Probability Top-25
2020-01-29,6,3,3,Benefit Top-25
2020-01-30,19,17,17,Benefit Top-25
2020-01-31,19,15,14,Benefit Top-25
2020-02-01,24,21,19,Benefit Top-25
2020-02-02,25,22,18,Benefit Top-25
2020-02-03,19,18,15,Benefit Top-25
2020-02-04,6,6,5,Benefit Top-25
2020-02-05,2,0,0,Benefit Top-25
2020-02-06,8,0,0,Benefit Top-25
2020-02-07,14,11,9,Benefit Top-25
2020-02-08,18,14,13,Benefit Top-25
2020-02-09,13,13,8,Benefit Top-25
2020-02-10,11,8,7,Benefit Top-25
2020-02-11,11,9,8,Benefit Top-25
2020-02-12,7,5,5,Benefit Top-25
2020-02-13,5,4,4,Benefit Top-25
2020-02-14,15,13,11,Benefit Top-25
2020-02-15,20,18,17,Benefit Top-25
2020-02-16,12,10,8,Benefit Top-25
2020-02-17,9,6,5,Benefit Top-25
2020-02-18,5,3,3,Benefit Top-25
2020-02-19,12,10,10,Benefit Top-25
2020-02-20,25,25,25,Benefit Top-25
2020-02-21,25,28,24,Benefit Top-25
2020-02-22,22,17,17,Benefit Top-25
2020-02-23,18,13,13,Benefit Top-25
2020-02-24,9,6,4,Benefit Top-25
2020-02-25,10,7,7,Benefit Top-25
2020-02-26,4,1,1,Benefit Top-25
2020-02-27,25,26,23,Benefit Top-25
2020-02-28,23,22,20,Benefit Top-25
2020-03-01,19,19,15,Benefit Top-25
2020-03-02,24,27,20,Benefit Top-25
2020-03-03,16,9,7,Benefit Top-25
2020-03-04,9,6,5,Benefit Top-25
2020-03-05,5,8,4,Benefit Top-25
2020-03-06,3,0,0,Benefit Top-25
2020-03-07,6,7,3,Benefit Top-25
2020-03-08,17,15,11,Benefit Top-25
2020-03-09,15,7,7,Benefit Top-25
2020-03-10,21,18,14,Benefit Top-25
2020-03-11,16,22,14,Benefit Top-25
2020-03-12,25,31,24,Benefit Top-25
2020-03-13,14,13,10,Benefit Top-25
2020-03-14,9,8,7,Benefit Top-25
2020-03-15,22,18,18,Benefit Top-25
2020-03-16,23,19,16,Benefit Top-25
2020-03-17,25,32,23,Benefit Top-25
2020-03-18,15,14,10,Benefit Top-25
2020-03-19,25,37,25,Benefit Top-25
2020-03-20,25,41,24,Benefit Top-25
2020-03-21,19,15,15,Benefit Top-25
2020-03-22,7,5,5,Benefit Top-25
2020-03-23,15,6,6,Benefit Top-25
2020-03-24,17,11,10,Benefit Top-25
2020-03-25,7,3,3,Benefit Top-25
2020-03-26,2,0,0,Benefit Top-25
2020-03-27,2,0,0,Benefit Top-25
2020-03-28,8,5,4,Benefit Top-25
2020-03-29,17,11,11,Benefit Top-25
2020-03-30,11,4,4,Benefit Top-25
2020-03-31,25,33,24,Benefit Top-25
2020-04-01,14,12,11,Benefit Top-25
2020-04-02,17,10,9,Benefit Top-25
2020-04-03,6,6,6,Benefit Top-25
2020-01-29,50,3,3,Probability Top-50
2020-01-30,50,17,17,Probability Top-50
2020-01-31,50,15,15,Probability Top-50
2020-02-01,50,21,21,Probability Top-50
2020-02-02,50,22,22,Probability Top-50
2020-02-03,50,18,18,Probability Top-50
2020-02-04,50,6,6,Probability Top-50
2020-02-05,50,0,0,Probability Top-50
2020-02-06,50,0,0,Probability Top-50
2020-02-07,50,11,11,Probability Top-50
2020-02-08,50,14,14,Probability Top-50
2020-02-09,50,13,9,Probability Top-50
2020-02-10,50,8,8,Probability Top-50
2020-02-11,50,9,9,Probability Top-50
2020-02-12,50,5,5,Probability Top-50
2020-02-13,50,4,4,Probability Top-50
2020-02-14,50,13,12,Probability Top-50
2020-02-15,50,18,18,Probability Top-50
2020-02-16,50,10,9,Probability Top-50
2020-02-17,50,6,6,Probability Top-50
2020-02-18,50,3,3,Probability Top-50
2020-02-19,50,10,10,Probability Top-50
2020-02-20,50,25,25,Probability Top-50
2020-02-21,50,28,28,Probability Top-50
2020-02-22,50,17,17,Probability Top-50
2020-02-23,50,13,13,Probability Top-50
2020-02-24,50,6,6,Probability Top-50
2020-02-25,50,7,7,Probability Top-50
2020-02-26,50,1,1,Probability Top-50
2020-02-27,50,26,25,Probability Top-50
2020-02-28,50,22,22,Probability Top-50
2020-03-01,50,19,17,Probability Top-50
2020-03-02,50,27,26,Probability Top-50
2020-03-03,50,9,9,Probability Top-50
2020-03-04,50,6,6,Probability Top-50
2020-03-05,50,8,8,Probability Top-50
2020-03-06,50,0,0,Probability Top-50
2020-03-07,50,7,7,Probability Top-50
2020-03-08,50,15,12,Probability Top-50
2020-03-09,50,7,7,Probability Top-50
2020-03-10,50,18,14,Probability Top-50
2020-03-11,50,22,18,Probability Top-50
2020-03-12,50,31,30,Probability Top-50
2020-03-13,50,13,13,Probability Top-50
2020-03-14,50,8,8,Probability Top-50
2020-03-15,50,18,18,Probability Top-50
2020-03-16,50,19,19,Probability Top-50
2020-03-17,50,32,31,Probability Top-50
2020-03-18,50,14,14,Probability Top-50
2020-03-19,50,37,36,Probability Top-50
2020-03-20,50,41,41,Probability Top-50
2020-03-21,50,15,15,Probability Top-50
2020-03-22,50,5,5,Probability Top-50
2020-03-23,50,6,6,Probability Top-50
2020-03-24,50,11,11,Probability Top-50
2020-03-25,50,3,3,Probability Top-50
2020-03-26,50,0,0,Probability Top-50
2020-03-27,50,0,0,Probability Top-50
2020-03-28,50,5,5,Probability Top-50
2020-03-29,50,11,11,Probability Top-50
2020-03-30,50,4,4,Probability Top-50
2020-03-31,50,33,33,Probability Top-50
2020-04-01,50,12,12,Probability Top-50
2020-04-02,50,10,9,Probability Top-50
2020-04-03,50,6,6,Probability Top-50
2020-01-29,6,3,3,Benefit Top-50
2020-01-30,19,17,17,Benefit Top-50
2020-01-31,19,15,14,Benefit Top-50
2020-02-01,24,21,19,Benefit Top-50
2020-02-02,26,22,18,Benefit Top-50
2020-02-03,19,18,15,Benefit Top-50
2020-02-04,6,6,5,Benefit Top-50
2020-02-05,2,0,0,Benefit Top-50
2020-02-06,8,0,0,Benefit Top-50
2020-02-07,14,11,9,Benefit Top-50
2020-02-08,18,14,13,Benefit Top-50
2020-02-09,13,13,8,Benefit Top-50
2020-02-10,11,8,7,Benefit Top-50
2020-02-11,11,9,8,Benefit Top-50
2020-02-12,7,5,5,Benefit Top-50
2020-02-13,5,4,4,Benefit Top-50
2020-02-14,15,13,11,Benefit Top-50
2020-02-15,20,18,17,Benefit Top-50
2020-02-16,12,10,8,Benefit Top-50
2020-02-17,9,6,5,Benefit Top-50
2020-02-18,5,3,3,Benefit Top-50
2020-02-19,12,10,10,Benefit Top-50
2020-02-20,25,25,25,Benefit Top-50
2020-02-21,29,28,27,Benefit Top-50
2020-02-22,22,17,17,Benefit Top-50
2020-02-23,18,13,13,Benefit Top-50
2020-02-24,9,6,4,Benefit Top-50
2020-02-25,10,7,7,Benefit Top-50
2020-02-26,4,1,1,Benefit Top-50
2020-02-27,27,26,25,Benefit Top-50
2020-02-28,23,22,20,Benefit Top-50
2020-03-01,19,19,15,Benefit Top-50
2020-03-02,24,27,20,Benefit Top-50
2020-03-03,16,9,7,Benefit Top-50
2020-03-04,9,6,5,Benefit Top-50
2020-03-05,5,8,4,Benefit Top-50
2020-03-06,3,0,0,Benefit Top-50
2020-03-07,6,7,3,Benefit Top-50
2020-03-08,17,15,11,Benefit Top-50
2020-03-09,15,7,7,Benefit Top-50
2020-03-10,21,18,14,Benefit Top-50
2020-03-11,16,22,14,Benefit Top-50
2020-03-12,33,31,29,Benefit Top-50
2020-03-13,14,13,10,Benefit Top-50
2020-03-14,9,8,7,Benefit Top-50
2020-03-15,22,18,18,Benefit Top-50
2020-03-16,23,19,16,Benefit Top-50
2020-03-17,36,32,30,Benefit Top-50
2020-03-18,15,14,10,Benefit Top-50
2020-03-19,34,37,30,Benefit Top-50
2020-03-20,42,41,38,Benefit Top-50
2020-03-21,19,15,15,Benefit Top-50
2020-03-22,7,5,5,Benefit Top-50
2020-03-23,15,6,6,Benefit Top-50
2020-03-24,17,11,10,Benefit Top-50
2020-03-25,7,3,3,Benefit Top-50
2020-03-26,2,0,0,Benefit Top-50
2020-03-27,2,0,0,Benefit Top-50
2020-03-28,8,5,4,Benefit Top-50
2020-03-29,17,11,11,Benefit Top-50
2020-03-30,11,4,4,Benefit Top-50
2020-03-31,37,33,32,Benefit Top-50
2020-04-01,14,12,11,Benefit Top-50
2020-04-02,17,10,9,Benefit Top-50
2020-04-03,6,6,6,Benefit Top-50
